Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,7
design__inferred_latch__count,0
design__instance__count,42309
design__instance__area,802857
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,0
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,0
design__max_cap_violation__count__corner:nom_tt_025C_3v30,5
power__internal__total,0.007003043312579393
power__switching__total,0.00421327818185091
power__leakage__total,0.0
power__total,0.011216321960091591
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.4518554269756891
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.4596430310910195
timing__hold__ws__corner:nom_tt_025C_3v30,0.5151191841103988
timing__setup__ws__corner:nom_tt_025C_3v30,26.749486938170236
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.515119
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,26.749487
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,0
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,5
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.4104829092817867
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.41712015577761746
timing__hold__ws__corner:nom_ff_n40C_3v60,0.3510807854916939
timing__setup__ws__corner:nom_ff_n40C_3v60,29.209361089945943
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.351081
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,29.623852
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,0
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,0
design__max_cap_violation__count__corner:nom_ss_125C_3v00,5
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.5160749751393302
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.5257765482920939
timing__hold__ws__corner:nom_ss_125C_3v00,0.7708002232436522
timing__setup__ws__corner:nom_ss_125C_3v00,22.094028565373097
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,0.0
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,0.0
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,0.770800
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,22.094028
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,12
clock__skew__worst_hold,-0.40809731749015427
clock__skew__worst_setup,0.4147185767739782
timing__hold__ws,0.3485253295724897
timing__setup__ws,21.93966670437724
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.348525
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,21.939667
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1110.0 1110.0
design__core__bbox,100.24 101.92 1009.68 1007.44
design__io,14
design__die__area,1.2321E+6
design__core__area,823516
design__instance__count__stdcell,13732
design__instance__area__stdcell,238768
design__instance__count__macros,4
design__instance__area__macros,32078.7
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.32889
design__instance__utilization__stdcell,0.301688
design__rows,439
design__rows:unithd,439
design__sites,351120
design__sites:unithd,351120
design__instance__count__class:macro,4
design__instance__area__class:macro,32078.7
design__instance__count__class:tie_cell,492
design__instance__area__class:tie_cell,4320.15
design__instance__count__class:inverter,250
design__instance__area__class:inverter,2195.2
design__instance__count__class:sequential_cell,492
design__instance__area__class:sequential_cell,39961.4
design__instance__count__class:multi_input_combinational_cell,5350
design__instance__area__class:multi_input_combinational_cell,138148
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:IFP-0028,1
flow__warnings__count:ODB-0220,103
flow__warnings__count:ORD-2056,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:tap_cell,5919
design__instance__area__class:tap_cell,25986.8
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count,0
floorplan__design__io,12
design__io__hpwl,18912773
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,4225.81
design__instance__displacement__mean,0.3075
design__instance__displacement__max,78.994
route__wirelength__estimated,462675
design__violations,0
design__instance__count__class:timing_repair_buffer,1002
design__instance__area__class:timing_repair_buffer,23089.1
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,22
design__instance__count__class:clock_buffer,212
design__instance__area__class:clock_buffer,4926.03
design__instance__count__class:clock_inverter,14
design__instance__area__class:clock_inverter,136.102
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,630
global_route__vias,35
global_route__wirelength,664095
flow__warnings__count:GRT-0115,1
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,1
route__net,8762
route__net__special,2
route__drc_errors__iter:0,4
route__wirelength__iter:0,495976
route__drc_errors__iter:1,0
route__wirelength__iter:1,495952
route__drc_errors__iter:2,517
route__wirelength__iter:2,495490
route__drc_errors__iter:3,61
route__wirelength__iter:3,495909
route__drc_errors__iter:4,16
route__wirelength__iter:4,495972
route__drc_errors__iter:5,9
route__wirelength__iter:5,495959
route__drc_errors__iter:6,9
route__wirelength__iter:6,495961
route__drc_errors__iter:7,1
route__wirelength__iter:7,495973
route__drc_errors__iter:8,1
route__wirelength__iter:8,495973
route__drc_errors__iter:9,0
route__wirelength__iter:9,495972
route__drc_errors,0
route__wirelength,495952
route__vias,51500
route__vias__singlecut,51500
route__vias__multicut,0
design__instance__count__class:antenna_cell,1
design__instance__area__class:antenna_cell,4.3904
